Bundesland,Mediangehalt,,
Baden-Württemberg,50250,,
Nordrhein-Westfalen,47250,,
Sachsen-Anhalt,39750,,
Berlin,48250,,
Schleswig-Holstein,43750,,
Saarland,44500,,
Hamburg,52000,,
Bayern,50000,,
Hessen,50250,,
Rheinland-Pfalz,45250,,
Brandenburg,41000,,
Bremen,47750,,
Niedersachsen,44750,,
Mecklenburg-Vorpommern,39500,,
Sachsen,40750,,
Thüringen,40250,,
