Bundesland,Wahlberechtigte,Wählende_total,Wählende_percent,Ungültige_Erststimmen_total,Ungültige_Erststimmen_percent,Ungültige_Zweitstimmen_total,Ungültige_Zweitstimmen_percent,Gültige_Erststimmen_total,Gültige_Erststimmen_percent,Gültige_Zweitstimmen_total,Gültige_Zweitstimmen_percent,CDU/CSU_Erststimmen_total,CDU/CSU_Erststimmen_percent,CDU/CSU_Zweitstimmen_total,CDU/CSU_Zweitstimmen_percent,SPD_Erststimmen_total,SPD_Erststimmen_percent,SPD_Zweitstimmen_total,SPD_Zweitstimmen_percent,Grüne_Erststimmen_total,Grüne_Erststimmen_percent,Grüne_Zweitstimmen_total,Grüne_Zweitstimmen_percent,AfD_Erststimmen_total,AfD_Erststimmen_percent,AfD_Zweitstimmen_total,AfD_Zweitstimmen_percent,Die Linke_Erststimmen_total,Die Linke_Erststimmen_percent,Die Linke_Zweitstimmen_total,Die Linke_Zweitstimmen_percent,BSW_Erststimmen_total,BSW_Erststimmen_percent,BSW_Zweitstimmen_total,BSW_Zweitstimmen_percent,FDP_Erststimmen_total,FDP_Erststimmen_percent,FDP_Zweitstimmen_total,FDP_Zweitstimmen_percent
Baden-Württemberg,7653811,6382446,83.4,49732,0.8,32448,0.5,6332714,99.2,6349998,99.5,2280707,36,2006866,31.6,1002327,15.8,898778,14.2,887608,14,865738,13.6,1231221,19.4,1256430,19.8,360037,5.7,429484,6.8,,,260219,4.1,271794,4.3,357539,5.6
Nordrhein-Westfalen,12884209,10587740,82.2,97311,0.9,61606,0.6,10490429,99.1,10526134,99.4,3566853,34,3170627,30.1,2633792,25.1,2108434,20,1230253,11.7,1300901,12.4,1720896,16.4,1770379,16.8,714177,6.8,877123,8.3,6515,0.1,432911,4.1,349157,3.3,462446,4.4
Sachsen-Anhalt,1734719,1347837,77.7,17293,1.3,10488,0.8,1330544,98.7,1337349,99.2,313319,23.5,256538,19.2,183951,13.8,146535,11,48599,3.7,59077,4.4,515634,38.8,496110,37.1,165818,12.5,143807,10.8,,,150411,11.2,37603,2.8,41251,3.1
Berlin,2442042,1961177,80.3,18539,0.9,11644,0.6,1942638,99.1,1949533,99.4,413893,21.3,356099,18.3,326663,16.8,295182,15.1,338231,17.4,328035,16.8,294546,15.2,296990,15.2,423549,21.8,387222,19.9,41787,2.2,129651,6.7,52575,2.7,74076,3.8
Schleswig-Holstein,2262811,1889968,83.5,13739,0.7,9963,0.5,1876229,99.3,1880005,99.5,573541,30.6,518424,27.6,424485,22.6,352546,18.8,279298,14.9,279923,14.9,302259,16.1,306165,16.3,115098,6.1,146428,7.8,,,64777,3.4,67541,3.6,88147,4.7
Saarland,734204,605293,82.4,8051,1.3,5570,0.9,597242,98.7,599723,99.1,177003,29.6,161113,26.9,178745,29.9,131136,21.9,30477,5.1,43371,7.2,129177,21.6,129294,21.6,41215,6.9,44080,7.4,,,37001,6.2,20611,3.5,25725,4.3
Hamburg,1299289,1050805,80.9,8507,0.8,5185,0.5,1042298,99.2,1045620,99.5,232067,22.3,216935,20.7,292325,28,237740,22.7,214621,20.6,201713,19.3,114714,11,113608,10.9,129995,12.5,151115,14.5,,,41919,4,35299,3.4,47115,4.5
Bayern,9481659,7996557,84.3,47357,0.6,24503,0.3,7949200,99.4,7972054,99.7,3272064,41.2,2964028,37.2,1016841,12.8,920675,11.5,969735,12.2,957435,12,1384631,17.4,1515731,19,366149,4.6,456935,5.7,19929,0.3,246518,3.1,246700,3.1,333257,4.2
Hessen,4341919,3608634,83.1,35802,1,27800,0.8,3572832,99,3580834,99.2,1154330,32.3,1033842,28.9,843094,23.6,657510,18.4,411127,11.5,451510,12.6,633669,17.7,636778,17.8,256907,7.2,311058,8.7,,,158653,4.4,128781,3.6,180823,5
Rheinland-Pfalz,3014482,2500548,83,27497,1.1,18190,0.7,2473051,98.9,2482358,99.3,831611,33.6,760623,30.6,573461,23.2,462705,18.6,204080,8.3,256869,10.3,476014,19.2,498695,20.1,123638,5,161867,6.5,54639,2.2,105103,4.2,83327,3.4,114047,4.6
