Bundesland,Mediangehalt
Hamburg,52000
Baden-Württemberg,50250
Hessen,50250
Bayern,50000
Berlin,48250
Bremen,47750
Nordrhein-Westfalen,47250
Rheinland-Pfalz,45250
Niedersachsen,44750
Saarland,44500
Schleswig-Holstein,43750
Brandenburg,41000
Sachsen,40750
Thüringen,40250
Sachsen-Anhalt,39750
Mecklenburg-Vorpommern,39500
