bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Sachsen,FDP,011,Grube,Norma,Schulleiterin,1983,Chemnitz,161
Sachsen,FDP,012,Horst,Benita,kaufm. Leiterin,1978,Dresden II – Bautzen II,159
Sachsen,FDP,013,Jess,Peter,Zimmerermeister,1980,Leipzig II,152
Sachsen,FDP,014,Bauer,Billy,Sicherheitsingenieur,1984,Chemnitzer Umland – Erzgebirgskreis II,162
Sachsen,FDP,015,Schnurre,Torsten,Sozialversicherungsfachangestellter,1983,Vogtlandkreis,165
Sachsen,Die Linke,001,Pellmann,Sören,Grundschullehrer,1977,Leipzig II,152
Sachsen,Die Linke,002,Lay,Caren Nicole,Mitglied des Deutschen Bundestages,1972,Bautzen I,155
Sachsen,Die Linke,003,Bünger,Clara Anne,Volljuristin,1986,Dresden II – Bautzen II,159
Sachsen,Die Linke,004,Salihović,Zada,Fachkauffrau Büromanagement,2000,,
Sachsen,Die Linke,005,Weichhold,Nicole,Tischlerin,1989,Mittelsachsen,160
Sachsen,Die Linke,006,Henning,Marten Richard,Lehrer,1996,Chemnitz,161
Sachsen,Die Linke,007,Treu,Nina,Politikwissenschaftlerin,1984,Leipzig I,151
Sachsen,Die Linke,008,Kretzschmar,Jens,Erzieher Jugend- und Heimerziehung,1973,Leipzig-Land,153
Sachsen,Die Linke,009,Wolf,Jennifer,Heilerziehungspflegerin,1990,Erzgebirgskreis I,163
Sachsen,Die Linke,010,Zwintzscher,Simon,Student,2005,Vogtlandkreis,165
Sachsen,Die Linke,011,Römer,Funda,Angestellte,1970,Dresden I,158
Sachsen,Die Linke,012,Saupe,Paul,Student,1996,,
Sachsen,Die Linke,013,Becker,Anna,Studentin,2000,,
Sachsen,Die Linke,014,Starcke,Jannik,Student,2004,,
Sachsen,Die Linke,015,Hamann,Jessica,Sozialarbeiterin,1991,Meißen,154
Sachsen,GRÜNE,001,Dr. Piechotta,Paula,Ärztin,1986,Leipzig II,152
Sachsen,GRÜNE,002,Saleh,Kassem Taher,"MdB, Dipl.-Bauingenieur",1993,Dresden I,158
Sachsen,GRÜNE,003,Spellerberg,Merle,"MdB, Studentin",1996,Dresden II – Bautzen II,159
Sachsen,GRÜNE,004,Herrmann,Bernhard,Dipl.-Ing. Wasserbau,1966,Chemnitzer Umland – Erzgebirgskreis II,162
Sachsen,GRÜNE,005,Hänel,Monique,"Bürokauffrau, leitende Angestellte",1985,Görlitz,156
Sachsen,GRÜNE,006,Horlbeck,Olaf,"Tischlermeister, Gestalter im Handwerk",1965,Vogtlandkreis,165
Sachsen,GRÜNE,007,Storz,Coretta,wissenschaftl. Mitarbeiterin,1986,,
Sachsen,GRÜNE,008,Béjaoui,Ahmed,Sozialarbeiter,1992,,
Sachsen,GRÜNE,009,Zierold,Ronja,Studentin,2005,,
Sachsen,GRÜNE,010,Schmidt,Frank,"Dipl.-Verwaltungswirt (FH), Forstwirt",1982,Bautzen I,155
Sachsen,Freie Wähler,001,Weidinger,Thomas,Rechtsanwalt,1962,Leipzig I,151
Sachsen,Freie Wähler,002,Vogt,Madelaine,Dipl.-Sängerin,1977,,
Sachsen,Freie Wähler,003,Hösl,Stephan,Elektrotechniker,1966,,
Sachsen,Freie Wähler,004,Reinhardt,Anja,Rechtsfachwirtin,1973,,
Sachsen,Freie Wähler,005,Sontowski,Mark,techn. Betriebswirt IHK,1982,Mittelsachsen,160
Sachsen,Freie Wähler,006,Giebe,Jens,Servicetechniker,1969,Sächsische Schweiz-Osterzgebirge,157
Sachsen,Freie Wähler,007,Binner,Matthias,Qualitätsingenieur,1986,Leipzig II,152
Sachsen,Freie Wähler,008,Dr. Sünder,Bernhard,Unternehmer,1954,,
Sachsen,Freie Wähler,009,Hutschalik,Günter,Volljurist,1955,,
Sachsen,Freie Wähler,010,Busch,Alexander,Informatiker,1980,,
Sachsen,Freie Wähler,011,Weinlich,Peggy,selbständig,1982,,
Sachsen,Freie Wähler,012,Massi,Dirk Horst,selbständig,1959,,
Sachsen,Freie Wähler,013,Henker,Kevin,Verwaltungsfachwirt,1994,,
Sachsen,Freie Wähler,014,Weinlich,Matthias,selbständig,1975,,
Sachsen,Freie Wähler,015,Schäfer,Katja,Dipl.-Betriebswirtin (BA),1979,,
Sachsen,Freie Wähler,016,Schiefner,Ray,Metallbaumeister,1983,,
Sachsen,Freie Wähler,017,Tschirner,Lars,Bädermeister,1972,,
Sachsen,Tierschutzpartei,001,Dr. Zimmer,Peter,Tierarzt,1968,,
Sachsen,Tierschutzpartei,002,Mörseburg,Stephanie,Logopädin,1986,,
Sachsen,Tierschutzpartei,003,Mörseburg,Meik,Dipl.-Wirtschaftsinformatiker,1982,,
Sachsen,Tierschutzpartei,004,Müller,Sandro,Bürokaufmann,1976,,
Sachsen,Tierschutzpartei,005,Dawidowski,Kai,Softwareentwickler,1989,,
Sachsen,Tierschutzpartei,006,Romanowski,Gioia Anjuschka Valerie,Auszubildende,1994,,
Sachsen,Die PARTEI,001,Brock,Charlotte,Artistin,1994,,
Sachsen,Die PARTEI,002,Höfkes,Heike,Fachinformatikerin,1989,,
Sachsen,Die PARTEI,003,Bremer,Jule Beate,Steuerfachangestellte,2002,,
Sachsen,Die PARTEI,004,Buntrock,Melanie,Reinigungskraft,1982,Dresden II – Bautzen II,159
Sachsen,Die PARTEI,005,Müller,Christine,Clown,1994,,
Sachsen,Die PARTEI,006,Ebert,Freya,Lehrerin Oberschule,1995,,
Sachsen,Die PARTEI,007,Küchler,Sabine,Altenpflegefachkraft,1987,,
Sachsen,Die PARTEI,008,Subat,Katharina Christina,freie Redakteurin,1988,Leipzig I,151
Sachsen,Die PARTEI,009,Traubinger,Verena Agathe,Wissenschaftlerin,1992,,
Sachsen,Die PARTEI,010,Cedel,Sebastian,Spinner,1984,,
Sachsen,Die PARTEI,011,Hencker,Philipp,Bühnentechniker,1990,,
Sachsen,Die PARTEI,012,Nguyen,Tommy,Fahrradmonteur,1994,Chemnitz,161
Sachsen,Die PARTEI,013,Demandt,Philippe,tiermedizinischer Fachangestellter,1991,,
Sachsen,Die PARTEI,014,Bergmann,Stefan,Geselle,1983,,
Sachsen,Die PARTEI,015,Gaube,Erik,Berufstrainer Sport,1991,,
Sachsen,Die PARTEI,016,Gutjahr,Karsten,Mathematiker,1980,,
Sachsen,Die PARTEI,017,Engel,Désirée,Logopädin,1985,Zwickau,164
Sachsen,Die PARTEI,018,Groß,Joseph Matthias,Schüler,2005,,
Sachsen,Die PARTEI,019,Fritzsche,Laura,Physiotherapeutin,1986,,
Sachsen,Die PARTEI,020,Fischer,Simon Luca,Elektrotechniker Energie- und Gebäudetechnik,2004,,
Sachsen,Die PARTEI,021,Waltinger,Andreas,Ingenieur,1974,,
Sachsen,Die PARTEI,022,Lippold,Marco,Fahrer,1973,,
Sachsen,Die PARTEI,023,Thiele,Immo,Verkehrsfachwirt,1966,,
Sachsen,PIRATEN,001,Giermann,Anne,"Redakteurin, Geschichtswissenschaftlerin",1991,,
Sachsen,PIRATEN,002,Kluge,Johanna,Schülerin,2005,,
