bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Sachsen-Anhalt,Freie Wähler,002,Weber,André,Fuhrparkdisponent,1988,Harz,068
Sachsen-Anhalt,Freie Wähler,003,Resch,Rebecca,selbst. Osteopathin,1987,Burgenland – Saalekreis,072
Sachsen-Anhalt,Freie Wähler,004,Dr. Mattheis,Maik,Technologievorstand,1963,Anhalt – Dessau – Wittenberg,070
Sachsen-Anhalt,Freie Wähler,005,Iser,Lisa Marie,Lokführerin,1975,,
Sachsen-Anhalt,Freie Wähler,006,Enders,Marcel,selbständig,1963,Mansfeld,073
Sachsen-Anhalt,Freie Wähler,007,Mallée,Marcel,Abteilungsleiter in der Automobilindustrie,1984,Magdeburg,069
Sachsen-Anhalt,Freie Wähler,008,Schneider,Ronny,IT-Systemadministrator,1982,Börde – Salzlandkreis,067
Sachsen-Anhalt,Freie Wähler,009,Tischmacher,Andreas,Versicherungskaufmann,1961,Altmark – Jerichower Land,066
Sachsen-Anhalt,Freie Wähler,010,Kullack,Maximilian,Kommunalbeamter,1999,,
Sachsen-Anhalt,Freie Wähler,011,Krümmel,Nils,Gastwirt,1964,,
Sachsen-Anhalt,Die PARTEI,001,Bochmann,Martin,Rentner,1974,,
Sachsen-Anhalt,Die PARTEI,002,Hannig,Jenny,arbeitslos,1992,,
Sachsen-Anhalt,Die PARTEI,003,Schulz,Leonie Sophie Xoey,Elektrohelferin,1999,,
Sachsen-Anhalt,Volt,001,Möwes,Catalina,Lehrerin,1982,,
Sachsen-Anhalt,Volt,002,Krems,Marcus,IT-Prozessberater,1990,,
Sachsen-Anhalt,Volt,003,Gärtner,Anita,Senior Referentin techn. Dokumentation,1977,,
Sachsen-Anhalt,MLPD,001,Wiegenstein,Daniel Alexander,Anlagenfahrer,1958,Magdeburg,069
Sachsen-Anhalt,MLPD,002,Kuske,Monika Beate,Verkäuferin,1957,,
Sachsen-Anhalt,MLPD,003,Mauson,Adrian Manuel,Logistik-Arbeiter,1992,Halle,071
Sachsen-Anhalt,MLPD,004,Oettler,Annette,Bürokauffrau,1973,,
Sachsen-Anhalt,MLPD,005,Oettler,Frank,Straßenbahnfahrer,1966,,
Sachsen-Anhalt,MLPD,006,Stöhr,Dagmar Christa,Lehrerin,1958,,
Sachsen-Anhalt,BÜNDNIS DEUTSCHLAND,001,Schreck,Kathrin,Lehrerin berufsbildende Schulen,1970,Harz,068
Sachsen-Anhalt,BÜNDNIS DEUTSCHLAND,002,Borgmann,Claudius,Dipl.-Wirtschaftsingenieur,1969,Magdeburg,069
Sachsen-Anhalt,BÜNDNIS DEUTSCHLAND,003,Laddey,Mario,Handwerksmeister,1973,Börde – Salzlandkreis,067
Sachsen-Anhalt,BÜNDNIS DEUTSCHLAND,004,Schröder,Martin,selbständig,1985,Halle,071
Sachsen-Anhalt,BÜNDNIS DEUTSCHLAND,005,Köhler-Babiak,Silvana,Rechtsanwältin,1966,,
Sachsen-Anhalt,BÜNDNIS DEUTSCHLAND,006,Weihrather,Gerhard,Software Engineer,1962,,
Sachsen-Anhalt,BSW,001,Dr. Lüders,Michael Andreas,"Autor, Schriftsteller",1959,,
Sachsen-Anhalt,BSW,002,Dittrich,John Lucas,Werkstudent,2004,,
Sachsen-Anhalt,BSW,003,Wittig,Claudia,wissenschaftl. Mitarbeiterin,1983,,
Sachsen-Anhalt,BSW,004,Sander,Robert,Berufsschullehrer,1986,,
Sachsen-Anhalt,BSW,005,Dr. Winkelmann-Witkowsky,Sylvia,"Orientarchäologe, Deutschlehrerin",1959,,
Sachsen-Anhalt,BSW,006,Schneider,Mandy,Dipl.-Sozialpädagoge,1982,,
