bundesland;partei;listenplatz;nachname;vorname;beruf;geburtsjahr;wahlkreis_name;wahlkreis_nummer;Gender
Bayern;CSU;1;Dobrindt;Alexander;MdB, Dipl.-Soziologe;1970;Weilheim;225;male
Bayern;CSU;2;Lindholz;Andrea;MdB, Rechtsanwältin;1970;Aschaffenburg;246;female
Bayern;CSU;3;Felßner;Günther;Landwirt;1966;;;male
Bayern;CSU;4;Ludwig;Daniela;MdB, Dipl.-Juristin;1975;Rosenheim;221;female
Bayern;CSU;5;Rainer;Alois Georg Josef;MdB, Metzgermeister;1965;Straubing;230;male
Bayern;CSU;6;Bär;Dorothee Gisela Renate Maria;Mitglied des Deutschen Bundestages;1978;Bad Kissingen;247;female
Bayern;CSU;7;Hahn;Florian Peter;Mitglied des Deutschen Bundestages;1974;München-Land;220;male
Bayern;CSU;8;Zeulner;Emmi;Mitglied des Deutschen Bundestages;1987;Kulmbach;239;female
Bayern;CSU;9;Dr. Pilsinger;Stephan Nikolaus;MdB, Hausarzt;1987;München-West/Mitte;219;male
Bayern;CSU;10;Englhardt-Kopf;Martina;MdB, Studiendirektorin a. D.;1981;Schwandorf;233;female
Bayern;CSU;11;Brehm;Sebastian Alfred;MdB, Steuerberater;1971;Nürnberg-Nord;243;male
Bayern;CSU;12;Dr. Weisgerber;Anja;MdB, Rechtsanwältin;1976;Schweinfurt;249;female
Bayern;CSU;13;Frieser;Michael Edwin;MdB, Rechtsanwalt;1964;Nürnberg-Süd;244;male
Bayern;CSU;14;Wittmann;Mechthilde;Mitglied des Deutschen Bundestages;1967;Oberallgäu;256;female
Bayern;CSU;15;Dr. Ullrich;Volker Michael;MdB, Jurist, Dipl.-Kaufmann;1975;Augsburg-Stadt;251;male
Bayern;CSU;16;Staffler;Katrin;Mitglied des Deutschen Bundestages;1981;Fürstenfeldbruck;214;female
Bayern;CSU;17;Baumgartner;Günter;Sparkassenbetriebswirt;1975;Rottal-Inn;229;male
Bayern;CSU;18;Küng;Claudia;Dipl.-Volkswirtin;1964;München-Süd;218;female
Bayern;CSU;19;Dr. Theiss;Hans Diogenes;Arzt;1977;München-Nord;216;male
Bayern;CSU;20;Dr. Launert;Silke;Mitglied des Deutschen Bundestages;1976;Bayreuth;236;female
Bayern;CSU;21;Dr. Körner;Konrad;Rechtsanwalt;1992;Erlangen;241;male
Bayern;CSU;22;Hierl;Susanne;MdB, Rechtsanwältin;1973;Amberg;231;female
Bayern;CSU;23;Rohrmoser;Josef;Personalleiter;1997;;;male
Bayern;CSU;24;Dr. Kössinger;Julia Christina Katharina;Oberregierungsrätin;1993;;;female
Bayern;CSU;25;Rupprecht;Albert Robert;MdB, Dipl.-Volkswirt;1968;Weiden;234;male
Bayern;CSU;26;Dr. Düber;Hülya;Sozialreferentin;1978;Würzburg;250;female
Bayern;CSU;27;Dr. Fabritius;Bernd-Bernhard;Rechtsanwalt;1965;;;male
Bayern;CSU;28;Zintl;Irmgard Sofie;Hauswirtschaftsmeisterin;1963;;;female
Bayern;CSU;29;Meier;Reiner;Dipl.-Verwaltungswirt (FH);1953;;;male
Bayern;CSU;30;Sontag-Lohmayer;Sophie Maria Dorothea;Politikwissenschaftlerin (M. Sc.);1992;;;female
Bayern;CSU;31;Hain;Heiko;Verwaltungsfachwirt;1982;Hof;238;male
Bayern;CSU;32;Prof. Dr. Wespel;Franziska;Beamtin;1981;;;female
Bayern;CSU;33;Moser;Christian Anton;Jurist;1989;Freising;213;male
Bayern;CSU;34;Auerhahn;Anna-Maria;Juristin;1996;;;female
Bayern;CSU;35;Koller;Johann Georg;Land- und Gastwirt;1971;Passau;228;male
Bayern;CSU;36;Freifrau von Waldenfels;Martina Annemarie Marianne Hanna;Landschaftsarchitektin;1975;;;female
Bayern;CSU;37;Hochrein;Claus;Landwirt;1974;;;male
Bayern;CSU;38;Edmeier;Sabrina;Rechtsanwältin;1995;;;female
Bayern;CSU;39;Schuster;Aron;Dipl.-Betriebswirt (FH);1984;;;male
Bayern;CSU;40;Renner;Nikola Yvonne Astrid;Justiziarin;1969;;;female
Bayern;CSU;41;Mörtl;Joseph Manfred;Doktorand;1999;;;male
Bayern;CSU;42;Dr. Ziegler;Katharina Maria;juristische Staatsbeamtin;1985;;;female
Bayern;CSU;43;Walk;Valentin Rupert;Regierungsbeamter;1996;;;male
Bayern;CSU;44;Polster;Lara;Wirtschaftspsychologin;1988;;;female
Bayern;CSU;45;Neumeyer;Niklas Martin Pabo;Pressesprecher;1992;;;male
Bayern;CSU;46;Fischer;Kathrin;Politik- und Kulturwissenschaftlerin;1985;;;female
Bayern;CSU;47;Süß;Michael;Bankkaufmann;2003;;;male
Bayern;CSU;48;Hoffmann-Baumstark;Bianca;Erzieherin;1980;;;female
Bayern;CSU;49;Rudrof;Constantin;wissenschaftl. Mitarbeiter;1997;;;male
Bayern;CSU;50;Kaiser;Sophia;Lehrkraft im Vorbereitungsdienst;1997;;;female
Bayern;CSU;51;van Laak;Yannick Maurice;Polizeihauptkommissar;1996;;;male
Bayern;CSU;52;Kohlmüller;Monika;Rechtsanwältin;1992;;;female
Bayern;CSU;53;Uhl;Daniel Rupert;Industriefachwirt;1998;;;male
Bayern;CSU;54;Rieß;Tanja;Industriekauffrau;1991;;;female
Bayern;CSU;55;Dr. Giersdorf;Fabian;Oberregierungsrat;1990;;;male
Bayern;CSU;56;Wenning;Simone;selbst. Modedesignerin;1977;;;female
Bayern;CSU;57;Thomas;Stephan;Lehrer;1980;;;male
Bayern;CSU;58;Lang;Julia;Gymnasiallehrerin;1982;;;female
Bayern;CSU;59;Huber;Valentin Alfred Rudolf;Student;1997;;;male
Bayern;CSU;60;Herding;Susanne;Industrietechnologin;1970;;;female
Bayern;CSU;61;Reusch;Robin;Baurat;1991;;;male
Bayern;CSU;62;Schrembs;Regina;Verwaltungsangestellte;1971;;;female
Bayern;CSU;63;Rose;Christian;Jurist;1983;;;male
Bayern;CSU;64;Barth;Birgit;Betriebswirtin;1972;;;female
Bayern;CSU;65;Barth;Frederik;Student;2002;;;male
Bayern;CSU;66;Haneberg;Sarah;wissenschaftl. Mitarbeiterin;1993;;;female
Bayern;CSU;67;Pursch;Julien;Dipl.-Finanzwirt (FH);1999;;;male
Bayern;CSU;68;Jakob;Gabriele Jessica;Rechtsanwältin;1972;;;female
Bayern;CSU;69;Lehrmann;Christian Hugo;Polizeibeamter;1980;;;male
Bayern;CSU;70;Haspel;Heike Karin;Personalsachbearbeiterin;1969;;;female
Bayern;CSU;71;Asenbauer;Johannes Michael;Automobilverkäufer;1992;;;male
Bayern;CSU;72;Rickl;Elisabeth;Studiendirektorin;1967;;;female
Bayern;CSU;73;Mudgal;Siddharth;Direktor Restrukturierung;1981;;;male
Bayern;CSU;74;Seiferlein;Corinna Sarah Christina;Sozialmanager (B. A.);1990;;;female
Bayern;CSU;75;Schmidbauer;Fabian Artur Ernst;Gymnasiallehrer;1992;;;male
Bayern;CSU;76;Burkhardt;Anja;Architektin;1968;;;female
Bayern;CSU;77;Brunkhorst;Ben;Student;2004;;;male
Bayern;CSU;78;Gräfin von Brühl-Störlein;Juliana Josephin;Studentin;2003;;;female
Bayern;CSU;79;Müller;Jonas Markus;Student;2002;;;male
Bayern;CSU;80;Bergmann;Silvia;Betriebswirtin i. R.;1959;;;female
Bayern;CSU;81;Helgert;Michael Georg;Elektromeister;1964;;;male
Bayern;CSU;82;Kaida;Florian Roland;wissenschaftl. Mitarbeiter;1999;;;male
Bayern;CSU;83;Stiegeler;David;Referent Bürgeranliegen und Kundenbeziehungsmanagement;1997;;;male
Bayern;CSU;84;Alfery;Johannes;Rechtsreferendar;1998;;;male
Bayern;CSU;85;Götz;Maximilian;Steuerberater;1987;;;male
Bayern;CSU;86;Prof. Dr. Dr. Ehlers;Alexander Paul Friedrich;Rechtsanwalt;1955;;;male
Bayern;CSU;87;Hänsel;Gottfried;Bankfilialdirektor i. R.;1951;;;male
Bayern;CSU;88;Kämmerer;Jan;Dipl.-Verwaltungswirt (FH);1999;;;male
Bayern;CSU;89;Stöckert;Philipp Karl Dimit'r;Jurist;1997;;;male
Bayern;CSU;90;Stocker-Böck;Jakob;IT-Projektleiter;1999;;;male
Bayern;CSU;91;Fleig;Florian Alexander;Rechtsanwalt;1981;;;male
Bayern;CSU;92;Picker;Rolf;Rechtsanwalt;1953;;;male
Bayern;SPD;1;Träger;Carsten Dietmar;Mitglied des Deutschen Bundestages;1973;Fürth;242;male
Bayern;SPD;2;Dr. Kofler;Bärbel;MdB;1967;Traunstein;224;female
Bayern;SPD;3;Schätzl;Johannes;MdB, Informatiker;1993;Passau;228;male
Bayern;SPD;4;Kramme;Anette;MdB, parl. Staatssekretärin;1967;Bayreuth;236;female
Bayern;SPD;5;Roloff;Sebastian Jörg;MdB, Rechtsanwalt;1983;München-Süd;218;male
Bayern;SPD;6;Dittmar;Sabine;MdB, parl. Staatssekretärin;1964;Bad Kissingen;247;female
Bayern;SPD;7;Schmid;Christoph Florian;Mitglied des Deutschen Bundestages;1976;Donau-Ries;253;male
Bayern;SPD;8;Dr. Wagner;Carolin;MdB, Referatsleiterin;1982;Regensburg;232;female
Bayern;SPD;9;Rützel;Bernd Ferdinand;MdB, techn. Oberamtsrat a. D.;1968;Main-Spessart;248;male
Bayern;SPD;10;Heinrich;Gabriela;Dipl.-Medienberaterin;1963;Nürnberg-Nord;243;female
Bayern;SPD;11;Schrodi;Michael;Gymnasiallehrer;1977;Fürstenfeldbruck;214;male
Bayern;SPD;12;Wegge;Carmen;MdB, Regierungsrätin a. D.;1989;Starnberg – Landsberg am Lech;223;female
Bayern;SPD;13;Schwarz;Andreas;MdB, Dipl.-Betriebswirt (FH);1965;Bamberg;235;male
Bayern;SPD;14;Heubach;Heike;Mitglied des Deutschen Bundestages;1979;Augsburg-Land;252;female
Bayern;SPD;15;Mandrella;David Tobias;Referendar;2001;Amberg;231;male
Bayern;SPD;16;König;Anja;Angestellte;1970;Landshut;227;female
Bayern;SPD;17;Mehltretter;Andreas Maximilian;Volkswirt;1991;Freising;213;male
Bayern;SPD;18;Knorr-Köning;Seija Anne;Pflegekraft;1994;München-West/Mitte;219;female
Bayern;SPD;19;Nürnberger;Jörg Mathias;Mitglied des Deutschen Bundestages;1967;Hof;238;male
